Submission,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
participant_0-result_1,0,0,3,0,7,6,7,6,3,0,5,0,0,6,6,0,0,0,4,4,4,0,0,0,0,1,1,0,0,3,0,5,6,3,1,0,0,6,4,3,2,0,0,6,2,7,3,0,3,4,7,2,4,6,7,7,2,1,0,7,1,6,0,7,7,5,6,1,5,0,1,3,1,0,1,7,3,4,1,1,2,3,3,0,5,0,2,2,0,3,0,5,0,3,0,0,4,2,4,3
participant_1-result_1,0,4,4,0,2,7,2,1,0,1,7,0,5,7,2,0,0,0,4,0,0,2,4,0,6,1,2,4,0,0,7,0,2,0,0,0,3,2,5,0,3,3,2,4,3,7,7,3,5,6,0,0,0,0,0,0,7,6,0,0,5,5,6,7,0,7,4,3,5,0,0,0,1,0,6,6,0,4,0,0,1,0,5,5,0,6,4,0,1,1,4,0,0,2,4,0,6,0,0,3
participant_2-result_1,5,5,3,0,2,7,2,3,0,7,6,0,0,0,0,5,0,5,5,2,5,6,6,0,2,1,0,6,4,0,0,6,0,5,4,0,0,2,0,0,0,4,0,7,4,0,1,3,7,3,7,1,0,3,0,0,6,0,6,5,5,4,1,5,7,2,3,0,0,4,0,0,2,2,7,4,1,0,7,0,3,0,5,0,0,1,1,1,0,6,3,0,0,0,4,6,3,0,3,1
participant_3-result_1,0,4,1,0,6,6,0,4,1,0,0,6,1,0,0,7,0,1,6,0,3,2,3,0,7,1,0,0,4,2,7,0,7,0,0,0,0,2,0,4,2,4,0,1,4,2,2,0,0,5,0,7,4,4,0,6,0,5,0,2,2,5,7,0,0,4,2,0,7,7,6,6,6,2,1,3,0,7,4,6,5,5,0,0,2,5,3,7,0,7,0,6,4,0,6,0,7,0,6,6
participant_4-result_1,0,6,6,1,0,4,1,0,0,0,2,3,1,0,5,1,0,2,7,6,0,0,1,1,4,4,1,0,6,0,5,0,3,5,2,0,7,3,6,0,7,4,6,5,4,0,0,7,3,0,0,0,4,4,0,2,4,0,7,7,5,0,5,2,3,1,1,6,0,4,4,4,4,0,4,4,0,7,0,0,0,0,0,0,7,2,0,0,6,0,6,0,0,7,6,5,0,3,0,6
participant_5-result_1,2,4,0,4,0,2,4,3,4,1,2,4,6,4,2,0,0,1,0,5,0,0,5,5,0,0,4,7,4,0,4,6,4,0,0,0,0,5,4,6,3,0,1,3,5,7,7,4,0,0,4,0,5,0,7,0,6,6,0,4,4,7,0,1,7,1,0,0,1,0,0,4,0,1,0,0,5,2,3,3,3,0,0,0,2,1,0,4,7,0,6,0,4,5,2,2,4,5,1,2
participant_6-result_1,5,6,4,0,7,2,6,0,5,6,0,6,6,2,0,3,4,0,1,0,7,0,1,7,6,1,1,0,2,3,5,0,3,0,0,7,2,2,7,0,0,4,4,4,1,0,4,5,3,0,4,4,0,0,0,0,4,0,2,5,5,4,2,0,2,0,3,0,0,0,2,7,1,0,0,3,0,1,0,7,3,0,4,0,1,3,3,1,0,1,2,0,4,3,2,4,0,7,6,0
participant_7-result_1,0,1,0,2,0,4,0,0,7,3,5,4,1,7,0,6,1,6,2,0,6,0,0,4,5,3,3,6,0,7,5,2,0,1,0,0,3,0,4,3,3,4,5,5,0,0,0,1,6,5,1,5,0,0,2,5,6,0,4,1,0,5,0,0,1,0,7,0,1,7,3,6,2,3,4,0,0,1,7,3,0,0,6,5,0,5,7,2,2,6,3,7,0,6,0,5,4,5,1,4
participant_8-result_1,5,2,3,0,1,4,0,4,7,5,0,7,0,4,0,2,4,5,5,7,0,2,0,4,7,2,2,7,3,2,0,0,5,7,4,0,7,1,0,2,6,0,2,2,0,4,2,0,5,0,0,7,0,1,2,4,7,0,7,3,0,0,6,4,6,0,0,4,0,2,4,7,6,5,5,0,0,7,0,0,3,0,6,6,0,4,0,1,2,0,7,0,0,0,3,5,7,2,0,2
participant_9-result_1,0,5,3,5,2,0,5,0,0,2,3,0,0,1,0,3,7,0,2,0,6,0,0,0,7,6,3,5,3,0,1,2,5,2,6,0,0,6,6,0,0,5,6,2,5,5,2,5,0,0,0,0,0,3,0,5,0,0,2,5,0,1,3,0,7,5,0,4,4,0,1,6,5,2,0,4,0,5,0,0,4,0,0,7,0,2,0,0,0,0,1,3,5,7,6,1,1,2,0,1
